"title,""jenis_bentuk_peraturan"",""pemrakarsa"",""nomor"",""tahun"",""tentang"",""tempat_penetapan"",""ditetapkan_tanggal"",""pejabat_yang_menetapkan"",""status"",""dokumen_peraturan"",""jumlah_dilihat"",""jumlah_didownload"",""tahun_pengundangan"",""nomor_pengundangan"",""nomor_tambahan"",""tanggal_pengundangan"",""pejabat_pengundangan"""																									
"Peraturan Badan Pengawas Tenaga Nuklir Nomor 11 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN PENGAWAS TENAGA NUKLIR"",""11"",""2019"",""JADWAL RETENSI ARSIP DI LINGKUNGAN BADAN PENGAWAS TENAGA NUKLIR"",""Jakarta"",""13 Desember 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn1645-2019.pdf"",""7601"",""137"",""2019"",""1645"",""11"",""19 Desember 2019"","""""																									
"Peraturan Badan Standardisasi Nasional Nomor 19 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN STANDARDISASI NASIONAL"",""19"",""2019"",""PETUNJUK PELAKSANAAN SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS DI LINGKUNGAN BADAN STANDARDISASI NASIONAL"",""Jakarta"",""13 September 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn1071-2019.pdf"",""4588"",""127"",""2019"",""1071"",""19"",""18 September 2019"","""""																									
"Peraturan Arsip Nasional Nomor 6 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""6"",""2019"",""PENGAWASAN KEARSIPAN"",""Jakarta"",""28 Juni 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn806-2019.pdf"",""6519"",""978"",""2019"",""806"",""6"",""31 Juli 2019"","""""																									
"Peraturan Arsip Nasional Nomor 4 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""4"",""2019"",""PEDOMAN PENILAIAN KERUSAKAN ARSIP KERTAS"",""Jakarta"",""14 Juni 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn666-2019.pdf"",""1181"",""515"",""2019"",""666"",""4"",""19 Juni 2019"","""""																									
"Peraturan Badan Pengawas Obat dan Makanan Nomor 4 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN PENGAWAS OBAT DAN MAKANAN"",""4"",""2019"",""SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS DI LINGKUNGAN BADAN PENGAWAS OBAT DAN MAKANAN"",""Jakarta"",""08 Maret 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn325-2019.pdf"",""7411"",""161"",""2019"",""325"",""4"",""26 Maret 2019"","""""																									
"Peraturan Badan Pengawas Tenaga Nuklir Nomor 3 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN PENGAWAS TENAGA NUKLIR"",""3"",""2019"",""SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS DI LINGKUNGAN BADAN PENGAWAS TENAGA NUKLIR"",""Jakarta"",""24 Januari 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn58-2019.pdf"",""8737"",""184"",""2019"",""58"",""3"",""25 Januari 2019"","""""																									
"Peraturan Badan Meteorologi,Klimatologi,dan Geofisika Nomor 6 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN METEOROLOGI,KLIMATOLOGI,DAN GEOFISIKA"",""6"",""2019"",""KLASIFIKASI ARSIP"",""Jakarta"",""15 Februari 2019"","""",""Berlaku"",""https://peraturan.go.id/files/BN+274-2019.pdf"",""4221"",""222"",""2019"",""274"",""6"",""14 Maret 2019"","""""																									
"Peraturan Badan Pengawas Obat dan Makanan Nomor 3 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN PENGAWAS OBAT DAN MAKANAN"",""3"",""2019"",""JADWAL RETENSI ARSIP BADAN PENGAWAS OBAT DAN MAKANAN"",""Jakarta"",""08 Maret 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn324-2019.pdf"",""7030"",""179"",""2019"",""324"",""3"",""26 Maret 2019"","""""																									
"Peraturan Arsip Nasional Nomor 5 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""5"",""2019"",""TATA CARA PENGANGKATAN PEGAWAI NEGERI SIPIL DALAM JABATAN FUNGSIONAL ARSIPARIS MELALUI PENYESUAIAN/INPASSING"",""Jakarta"",""28 Juni 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn745-2019.pdf"",""9039"",""211"",""2019"",""745"",""5"",""08 Juli 2019"","""""																									
"Peraturan Badan Nasional Pencarian dan Pertolongan Nomor 3 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN NASIONAL PENCARIAN DAN PERTOLONGAN"",""3"",""2019"",""PEDOMAN PENGELOLAAN KEARSIPAN BADAN NASIONAL PENCARIAN DAN PERTOLONGAN"",""Jakarta"",""18 Maret 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn406-2019.pdf"",""638"",""242"",""2019"",""406"",""3"",""10 April 2019"","""""																									
"Peraturan Kepala Badan Pusat Statistik Nomor 1 Tahun 2019,""PERATURAN BADAN/LEMBAGA"",""BADAN PUSAT STATISTIK"",""1"",""2019"",""JADWAL RETENSI ARSIP BADAN PUSAT STATISTIK"",""Jakarta"",""14 Februari 2019"","""",""Berlaku"",""https://peraturan.go.id/files/bn228-2019.pdf"",""9070"",""472"",""2019"",""228"",""1"",""28 Februari 2019"","""""																									
"Peraturan Daerah Kabupaten Bandung Barat Nomor 5 Tahun 2019,""PERATURAN DAERAH"",""KABUPATEN BANDUNG BARAT"",""5"",""2019"",""PENYELENGGARAAN KEARSIPAN"","""",""23 April 2019"","""",""Berlaku"",""https://peraturan.go.id/files/1640711676.pdf"",""6461"",""151"","""",""5"",""5"",""23 April 2019"","""""																									
"Peraturan Daerah Kota Bandung Nomor 027 Tahun 2019,""PERATURAN DAERAH"",""KOTA BANDUNG"",""027"",""2019"",""JADWAL RETENSI ARSIP"","""",""31 Mei 2019"","""",""Berlaku"",""https://peraturan.go.id/files/AUTENTIFIKASI+PERWAL+027+TAHUN+2019+JRA%2BLampiran.pdf"",""2752"",""152"","""",""27"",""027"",""31 Mei 2019"","""""																									
"Peraturan Daerah Provinsi Kalimantan Utara Nomor 7 Tahun 2019,""PERATURAN DAERAH"",""PROVINSI KALIMANTAN UTARA"",""7"",""2019"",""Penyelenggaraan Kearsipan"","""",""22 Juli 2019"","""",""Berlaku"",""https://peraturan.go.id/files/PERDA-7-2019_SALINAN.pdf"",""1867"",""169"","""",""7"",""7"",""22 Juli 2019"","""""																									
"Peraturan Daerah Kota Cirebon Nomor 32 Tahun 2019,""PERATURAN DAERAH"",""KOTA CIREBON"",""32"",""2019"",""SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS"","""",""19 Agustus 2019"","""",""Berlaku"",""https://peraturan.go.id/files/PERWAL322019.pdf"",""4347"",""136"","""",""32"",""32"",""21 Agustus 2019"","""""																									
"Peraturan Pemerintah Nomor 53 Tahun 2019,""PERATURAN PEMERINTAH"",""PEMERINTAH PUSAT"",""53"",""2019"",""JENIS DAN TARIF ATAS JENIS PENERIMAAN NEGARA BUKAN PAJAK YANG BERLAKU PADA ARSIP NASIONAL REPUBLIK INDONESIA"",""Jakarta"",""26 Juli 2019"",""JOKO WIDODO"",""Berlaku"",""https://peraturan.go.id/files/pp53-2019bt.pdf"",""3232"",""335"",""2019"",""139"",""53"",""31 Juli 2019"","""""																									
"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 2 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI"",""2"",""2018"",""Pedoman Pengelolaan Arsip Dinamis di Lingkungan Kementerian Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi"",""Jakarta"",""08 Januari 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn130-2018.pdf"",""7471"",""198"",""2018"",""130"",""2"",""19 Januari 2018"","""""																									
"Peraturan Menteri Koperasi dan UKM Nomor 03/PER/M.KUKM/III/2018 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KOPERASI, USAHA KECIL DAN MENENGAH"",""03/PER/M.KUKM/III/2018"",""2018"",""Jadwal Retensi Arsip Substantif di Lingkungan Kementerian Koperasi dan Usaha Kecil dan Menengah"",""Jakarta"",""29 Maret 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn488-2018.pdf"",""9472"",""177"",""2018"",""488"",""03/PER/M.KUKM/III/2018"",""10 April 2018"","""""																									
"Peraturan Menteri Badan Usaha Milik Negara Nomor PER-04/MBU/03/2018 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN BADAN USAHA MILIK NEGARA"",""PER-04/MBU/03/2018"",""2018"",""Penyelenggaraan Arsip Dinamis di Lingkungan Kementerian Badan Usaha Milik Negara"",""Jakarta"",""18 April 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn566-2018.pdf"",""4603"",""572"",""2018"",""566"",""PER-04/MBU/03/2018"",""27 April 2018"","""""																									
"Peraturan Menteri Koperasi dan UKM Nomor 05 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KOPERASI, USAHA KECIL DAN MENENGAH"",""05"",""2018"",""Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Koperasi dan Usaha Kecil dan Menengah"",""Jakarta"",""11 Mei 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn632-2018.pdf"",""8481"",""187"",""2018"",""632"",""05"",""14 Mei 2018"","""""																									
"Peraturan Menteri Agraria dan Tata Ruang/Badan Pertanahan Nasional Nomor 10 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN AGRARIA DAN TATA RUANG/BADAN PERTANAHAN NASIONAL"",""10"",""2018"",""Klasifikasi Arsip di Lingkungan Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional"",""Jakarta"",""19 April 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn687-2018.pdf"",""7305"",""1284"",""2018"",""687"",""10"",""23 Mei 2018"","""""																									
"Peraturan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 16/PRT/M/2018 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT"",""16/PRT/M/2018"",""2018"",""Klasifikasi Arsip Kementerian Pekerjaan Umum dan Perumahan Rakyat"",""Jakarta"",""08 Juni 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn801-2018.pdf"",""11213"",""630"",""2018"",""801"",""16/PRT/M/2018"",""26 Juni 2018"","""""																									
"Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 24 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN PENDAYAGUNAAN APARATUR NEGARA DAN REFORMASI BIROKRASI"",""24"",""2018"",""Klasifikasi Arsip di Lingkungan Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi"",""Jakarta"",""25 Juni 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn831-2018.pdf"",""3277"",""164"",""2018"",""831"",""24"",""02 Juli 2018"","""""																									
"Peraturan Menteri Kesehatan Nomor 21 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KESEHATAN"",""21"",""2018"",""Pedoman Tata Kearsipan Dinamis di Lingkungan Kementerian Kesehatan"",""Jakarta"",""05 Juni 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn909-2018.pdf"",""8370"",""348"",""2018"",""909"",""21"",""18 Juni 2018"","""""																									
"Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 5 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN"",""5"",""2018"",""Klasifikasi Arsip Kementerian Koordinator Bidang Kemaritiman"",""Jakarta"",""08 Juni 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn835-2018.pdf"",""1012"",""381"",""2018"",""835"",""5"",""03 Juli 2018"","""""																									
"Peraturan Menteri Riset, Teknologi, dan Pendidikan Tinggi Nomor 23 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN RISET, TEKNOLOGI, DAN PENDIDIKAN TINGGI"",""23"",""2018"",""Klasifikasi Arsip, Jadwal Retensi Arsip, dan Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Riset, Teknologi, dan Pendidikan Tinggi"",""Jakarta"",""17 Juli 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn948-2018.pdf"",""6826"",""301"",""2018"",""948"",""23"",""23 Juli 2018"","""""																									
"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.85/MENLHK/SETJEN/KUM.1/8/2018 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN"",""P.85/MENLHK/SETJEN/KUM.1/8/2018"",""2018"",""Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis Kementerian Lingkungan Hidup dan Kehutanan"",""Jakarta"",""03 Agustus 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1061-2018.pdf"",""3023"",""426"",""2018"",""1061"",""P.85/MENLHK/SETJEN/KUM.1/8/2018"",""09 Agustus 2018"","""""																									
"Peraturan Menteri Dalam Negeri Nomor 69 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN DALAM NEGERI"",""69"",""2018"",""Sistem Klasifikasi Keamanan dan Akses Arsip di Lingkungan Kementerian Dalam Negeri"",""Jakarta"",""31 Juli 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1086-2018.pdf"",""10415"",""342"",""2018"",""1086"",""69"",""14 Agustus 2018"","""""																									
"Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 11 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN"",""11"",""2018"",""Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis Kementerian Koordinator Bidang Kemaritiman"",""Jakarta"","""","""",""Berlaku"",""https://peraturan.go.id/files/bn1422-2018.pdf"",""7785"",""405"",""2018"",""1422"",""11"",""10 Oktober 2018"","""""																									
"Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 10 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN"",""10"",""2018"",""Jadwal Retensi Arsip Kementerian Koordinator Bidang Kemaritiman"",""Jakarta"",""14 September 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1361-2018.pdf"",""6403"",""374"",""2018"",""1361"",""10"",""26 September 2018"","""""																									
"Peraturan Menteri Perhubungan Nomor PM112 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN PERHUBUNGAN"",""PM112"",""2018"",""Pencabutan Atas Peraturan Menteri Perhubungan Nomor PM 78 Tahun 2010 tentang Kode Klasifikasi Arsip Kementerian Perhubungan"",""Jakarta"","""","""",""Berlaku"",""https://peraturan.go.id/files/bn1557-2018.pdf"",""9940"",""163"",""2018"",""1557"",""PM112"",""27 November 2018"","""""																									
"Peraturan Menteri Ketenagakerjaan Nomor 17 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KETENAGAKERJAAN"",""17"",""2018"",""Jadwal Retensi Arsip Kementerian Ketenagakerjaan"",""Jakarta"",""07 Desember 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1598-2018.pdf"",""2659"",""234"",""2018"",""1598"",""17"",""07 Desember 2018"","""""																									
"Peraturan Menteri Ketenagakerjaan Nomor 22 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN KETENAGAKERJAAN"",""22"",""2018"",""Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis Kementerian Ketenagakerjaan"",""Jakarta"",""12 Desember 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1634-2018.pdf"",""8119"",""237"",""2018"",""1634"",""22"",""12 Desember 2018"","""""																									
"Peraturan Menteri Pertahanan Nomor 24 Tahun 2018,""PERATURAN MENTERI"",""KEMENTERIAN PERTAHANAN"",""24"",""2018"",""Pengelolaan Arsip Terjaga di Lingkungan Kementerian Pertahanan"",""Jakarta"",""12 Desember 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1704-2018.pdf"",""2760"",""303"",""2018"",""1704"",""24"",""20 Desember 2018"","""""																									
"Peraturan Arsip Nasional Nomor 1 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""1"",""2018"",""Perubahan Kedua Atas Peraturan Kepala Arsip Nasional Republik Indonesia  Nomor 29 Tahun 2014 tentang Kelas Jabatan  di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""05 Januari 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn44-2018.pdf"",""4560"",""179"",""2018"",""44"",""1"",""10 Januari 2018"","""""																									
"Peraturan Arsip Nasional Nomor 2 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""2"",""2018"",""Petunjuk Pelaksanaan Dana Dekonsentrasi Arsip Nasional Republik Indonesia"",""Jakarta"",""18 Januari 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn133-2018.pdf"",""2301"",""197"",""2018"",""133"",""2"",""19 Februari 2018"","""""																									
"Peraturan Arsip Nasional Nomor 3 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""3"",""2018"",""Pedoman Penilaian Prestasi Kerja Pegawai Negeri Sipil  di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""18 Januari 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn134-2018.pdf"",""8437"",""172"",""2018"",""134"",""3"",""19 Januari 2018"","""""																									
"Peraturan Arsip Nasional Nomor 4 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""4"",""2018"",""Perubahan Atas Peraturan Kepala Arsip Nasional Republik Indonesia Nomor 6 Tahun 2017 Tentang Tata Cara Pengangkatan Pegawai Negeri Sipil  Dalam Jabatan Fungsional Arsiparis Melalui Penyesuaian/Inpassing"",""Jakarta"",""29 Januari 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn215-2018.pdf"",""5214"",""243"",""2018"",""215"",""4"",""02 Februari 2018"","""""																									
"Peraturan Arsip Nasional Nomor 5 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""5"",""2018"",""Pedoman Fumigasi Arsip"",""Jakarta"",""29 Januari 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn216-2018.pdf"",""9338"",""260"",""2018"",""216"",""5"",""02 Februari 2018"","""""																									
"Peraturan Arsip Nasional Nomor 6 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""6"",""2018"",""Petunjuk Pelaksanaan Anggaran Pendapatan dan Belanja Negara Arsip Nasional Republik Indonesia"",""Jakarta"",""29 Januari 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn289-2018.pdf"",""5985"",""396"",""2018"",""289"",""6"",""20 Februari 2018"","""""																									
"Peraturan Badan Ekonomi Kreatif Nomor 2 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN EKONOMI KREATIF"",""2"",""2018"",""Jadwal Retensi Arsip Badan Ekonomi Kreatif Republik Indonesia"",""Jakarta"","""","""",""Berlaku"",""https://peraturan.go.id/files/bn309-2018.pdf"",""3007"",""219"",""2018"",""309"",""2"",""26 Februari 2018"","""""																									
"Peraturan Arsip Nasional Nomor 8 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""8"",""2018"",""Pedoman Pengisian Jabatan Pimpinan Tinggi Melalui Mutasi di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""03 April 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn447-2018.pdf"",""4042"",""180"",""2018"",""447"",""8"",""04 April 2018"","""""																									
"Peraturan Badan Meteorologi,Klimatologi,dan Geofisika Nomor 1 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN METEOROLOGI,KLIMATOLOGI,DAN GEOFISIKA"",""1"",""2018"",""Jadwal Retensi Arsip Substantif Badan Meteorologi, Klimatologi, dan Geofisika"",""Jakarta"",""04 April 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn535-2018.pdf"",""7719"",""190"",""2018"",""535"",""1"",""19 April 2018"","""""																									
"Peraturan Arsip Nasional Nomor 7 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""7"",""2018"",""Tata Naskah Dinas di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""26 Maret 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn446-2018.pdf"",""9103"",""643"",""2018"",""446"",""7"",""04 April 2018"","""""																									
"Peraturan Lembaga Penerbangan dan Antariksa Nasional Nomor 2 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""LEMBAGA PENERBANGAN DAN ANTARIKSA NASIONAL"",""2"",""2018"",""Jadwal Retensi Arsip di Lingkungan Lembaga Penerbangan dan Antariksa Nasional"",""Jakarta"","""","""",""Berlaku"",""https://peraturan.go.id/files/bn725-2018.pdf"",""6356"",""186"",""2018"",""725"",""2"",""31 Mei 2018"","""""																									
"Peraturan Arsip Nasional Nomor 10 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""10"",""2018"",""Pedoman Pengisian Jabatan Pimpinan Tinggi Melalui Seleksi Terbuka di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""30 Juli 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn997-20118.pdf"",""5677"",""528"",""2018"",""997"",""10"",""31 Juli 2018"","""""																									
"Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 20 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""LEMBAGA KEBIJAKAN PENGADAAN BARANG/JASA PEMERINTAH"",""20"",""2018"",""Klasifikasi Arsip Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah"",""Jakarta"",""09 Juli 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn914-2018.pdf"",""5000"",""180"",""2018"",""914"",""20"",""18 Juli 2018"","""""																									
"Peraturan Arsip Nasional Nomor 9 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""9"",""2018"",""Pedoman Pemeliharaan Arsip Dinamis"",""Jakarta"",""07 Juni 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn818-2018.pdf"",""10994"",""1231"",""2018"",""818"",""9"",""28 Juni 2018"","""""																									
"Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 21 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""LEMBAGA KEBIJAKAN PENGADAAN BARANG/JASA PEMERINTAH"",""21"",""2018"",""Jadwal Retensi Arsip Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah"",""Jakarta"",""09 Juli 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn915-2018.pdf"",""7890"",""181"",""2018"",""915"",""21"",""18 Juli 2018"","""""																									
"Peraturan Komisi Pemberantasan Korupsi Nomor 07 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""KOMISI PEMBERANTASAN KORUPSI"",""07"",""2018"",""Pelaksanaan Program Arsip Vital di Lingkungan Komisi Pemberantasan Korupsi"",""Jakarta"",""31 Juli 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1007-2018.pdf"",""7553"",""175"",""2018"",""1007"",""07"",""31 Juli 2018"","""""																									
"Peraturan Badan Standardisasi Nasional Nomor 7 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN STANDARDISASI NASIONAL"",""7"",""2018"",""Klasifikasi Arsip di Lingkungan Badan Standardisasi Nasional"",""Jakarta"",""14 Agustus 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1084-2018.pdf"",""2142"",""149"",""2018"",""1084"",""7"",""14 Agustus 2018"","""""																									
"Peraturan Arsip Nasional Nomor 11 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""11"",""2018"",""Standar Pelayanan Jasa Kearsipan di Lingkungan Arsip Nasional Republik Indonesia"",""Jakarta"",""18 September 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1366-2018.pdf"",""4310"",""236"",""2018"",""1366"",""11"",""26 September 2018"","""""																									
"Peraturan Badan Pengawas Pemilihan Umum Nomor 32 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN PENGAWAS PEMILIHAN UMUM"",""32"",""2018"",""Sistem Klasifikasi Keamanan Arsip dan Akses Arsip Dinamis di Lingkungan Badan Pengawas Pemilihan Umum"",""Jakarta"",""23 November 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1567-2018.pdf"",""4163"",""167"",""2018"",""1567"",""32"",""28 November 2018"","""""																									
"Peraturan Badan Nasional Pengelola Perbatasan Nomor 10 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN NASIONAL PENGELOLA PERBATASAN"",""10"",""2018"",""Kode Klasifikasi Arsip di Lingkungan Badan Nasional Pengelola Perbatasan"",""Jakarta"",""03 Oktober 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1658-2018.pdf"",""6259"",""265"",""2018"",""1658"",""10"",""13 Desember 2018"","""""																									
"Peraturan Badan Nasional Pengelola Perbatasan Nomor 9 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN NASIONAL PENGELOLA PERBATASAN"",""9"",""2018"",""Klasifikasi Keamanan Arsip di Lingkungan Badan Nasional Pengelola Perbatasan"",""Jakarta"",""03 Oktober 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1657-2018.pdf"",""2478"",""181"",""2018"",""1657"",""9"",""13 Desember 2018"","""""																									
"Peraturan Badan Nasional Pengelola Perbatasan Nomor 8 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN NASIONAL PENGELOLA PERBATASAN"",""8"",""2018"",""Jadwal Retensi Arsip Badan Nasional Pengelola Perbatasan"",""Jakarta"",""03 Oktober 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1656-2018.pdf"",""386"",""187"",""2018"",""1656"",""8"",""13 Desember 2018"","""""																									
"Peraturan Arsip Nasional Nomor 15 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""15"",""2018"",""Pedoman Retensi Arsip Urusan Pekerjaan Umum dan Perumahan Rakyat"",""Jakarta"",""11 Desember 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1668-2018.pdf"",""6307"",""254"",""2018"",""1668"",""15"",""18 Desember 2018"","""""																									
"Peraturan Badan Ekonomi Kreatif Nomor 10 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""BADAN EKONOMI KREATIF"",""10"",""2018"",""Pedoman Sistem Klasifikasi Keamanan dan Akses Arsip di Lingkungan Badan Ekonomi Kreatif"",""Jakarta"","""","""",""Berlaku"",""https://peraturan.go.id/files/bn1824-2018.pdf"",""8127"",""171"",""2018"",""1824"",""10"",""31 Desember 2018"","""""																									
"Peraturan Arsip Nasional Nomor 14 Tahun 2018,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""14"",""2018"",""Standar Deskripsi Arsip Statis"",""Jakarta"",""11 Desember 2018"","""",""Berlaku"",""https://peraturan.go.id/files/bn1667-2018.pdf"",""3746"",""574"",""2018"",""1667"",""14"",""18 Desember 2018"","""""																									
